Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
Lesotho,LSO,2019,2.321119,1.630652,0.690468,0,0,0,,1.092154
Liberia,LBR,2019,1.0934,0,0.971727,0,0.121673,0,,0.221454
Libya,LBY,2019,54.509037,0,26.748825,17.835563,2.402457,7.522192,,8.042704
Liechtenstein,LIE,2019,0.1484,0,0.098104,0.050296,0,0,0,3.90332
Lithuania,LTU,2019,13.923095,0.800844,8.192436,4.081209,0.578055,0.233942,0.036609,5.045281
Luxembourg,LUX,2019,9.75216,0.274406,7.396395,1.607998,0.394793,0.000041,0.078527,15.838396
Macao,MAC,2019,1.256206,0,1.06882,0.187387,,0,,1.961459
North Macedonia,MKD,2019,7.974674,4.034021,3.08035,0.501231,0.359072,0,,3.827613
Madagascar,MDG,2019,4.049824,1.257957,2.710494,0,0.081374,0,,0.150164
Malawi,MWI,2019,1.5885,0.198788,1.299814,0,0.089898,0,,0.085271
Malaysia,MYS,2019,278.659255,86.191285,87.23862,84.299101,12.015737,8.914512,,8.72179
Maldives,MDV,2019,1.793956,0,1.793956,0,0,0,,3.378746
Mali,MLI,2019,3.688197,0,3.432452,0,0.255745,0,,0.187618
Malta,MLT,2019,1.669145,0.000011,0.960785,0.708166,0,0,0.000183,3.790308
Marshall Islands,MHL,2019,0.15107,0,0.15107,0,0,0,,2.56961
Martinique,MTQ,2019,2.348393,0,2.348393,0,0,0,,6.253144
Mauritania,MRT,2019,3.698476,0,3.698476,0,0,0,,0.817217
Mauritius,MUS,2019,4.377981,1.438109,2.939873,0,0,0,,3.448131
Mayotte,MYT,2019,0.305584,0,0.305584,0,0,0,,1.148165
Mexico,MEX,2019,435.512388,43.912459,220.896293,149.839733,20.863904,0,,3.413761
Mongolia,MNG,2019,88.691326,83.865601,4.411242,0,0.414482,0,,27.499762
Montenegro,MNE,2019,2.644994,1.65245,0.992544,0,0,0,,4.211862
Montserrat,MSR,2019,0.02861,0,0.02861,0,0,0,,5.734651
Morocco,MAR,2019,68.216612,24.218716,36.417869,2.003349,5.576679,0,,1.870395
Mozambique,MOZ,2019,7.28761,0.099394,4.381136,1.877096,0.929983,0,,0.239992
Myanmar,MMR,2019,36.047342,4.841297,19.778832,9.839706,1.587507,0,,0.666982
Namibia,NAM,2019,4.082009,0.022078,3.654338,0,0.405593,0,,1.636384
Nauru,NRU,2019,0.056651,0,0.056651,0,0,0,,5.266942
Nepal,NPL,2019,16.966544,6.254238,7.277794,0,3.434511,0,,0.593055
Netherlands,NLD,2019,153.599982,25.396261,53.256723,72.691459,0.006337,1.064698,1.184503,8.983963
New Caledonia,NCL,2019,8.706294,5.788039,2.885436,0,0.032819,0,,30.791489
New Zealand,NZL,2019,37.494502,5.985768,20.886751,8.434371,0.41094,1.020864,0.755808,7.839015
Nicaragua,NIC,2019,5.673088,0,5.320297,0,0.352792,0,,0.866716
Niger,NER,2019,1.853323,0.377429,1.455744,0,0.02015,0,,0.079505
Nigeria,NGA,2019,130.104061,0.11773,68.682287,37.818194,8.137354,15.348496,,0.647401
Niue,NIU,2019,0.01133,0,0.01133,0,0,0,,7.015632
Norway,NOR,2019,42.865,4.084658,22.29187,13.706937,0.721714,1.676184,0.383637,8.015302
Occupied Palestinian Territory,PSE,2019,2.985892,0,2.985892,0,0,0,,0.599406
Oman,OMN,2019,60.75674,0,4.305623,51.296109,2.095568,3.05944,,12.212444
Pacific Islands (Palau),,2019,0,,,,,,,0
Pakistan,PAK,2019,234.288957,52.788715,88.589884,77.302413,15.607945,0,,1.08184
Palau,PLW,2019,0.219051,0,0.219051,0,0,0,,12.164117
Panama,PAN,2019,12.293851,0.871155,9.758492,0.888837,0.775367,0,,2.895096
Papua New Guinea,PNG,2019,6.617732,0,5.634909,0.982823,0,0,,0.754062
Paraguay,PRY,2019,8.524898,0.007299,8.109465,0,0.408135,0,,1.210126
Peru,PER,2019,54.977537,1.687924,33.472004,15.295651,4.320439,0.20152,,1.691073
Philippines,PHL,2019,146.614938,69.398839,58.597344,8.666674,9.952082,0,,1.356081
Bolivia,BOL,2019,23.847714,0.014597,12.924459,9.315512,1.439258,0.153888,,2.071355
